org_id,canonical_name,normalized_patentsview,openalex_institution_id
org_tsmc,TSMC,taiwan semiconductor manufacturing,
org_asml,ASML,asml netherlands,
org_asml,ASML,asml,
org_ibm,IBM,international business machines,
org_samsung_display,Samsung Display,samsung display,
org_micron,Micron Technology,micron technology,
org_carl_zeiss,Carl Zeiss SMT,carl zeiss smt,
org_intel,Intel,intel,
org_sk_hynix,SK Hynix,sk hynix,
org_nikon,Nikon,nikon,
org_canon,Canon,canon,
org_applied_materials,Applied Materials,applied materials,
org_shin_etsu,Shin-Etsu Chemical,shin etsu chemical,
org_kla,KLA,kla tencor,
org_kla,KLA,kla,
org_qualcomm,Qualcomm,qualcomm,
org_tokyo_electron,Tokyo Electron,tokyo electron,
org_arm,Arm,arm,
org_globalfoundries,GlobalFoundries,globalfoundries u s,
org_globalfoundries,GlobalFoundries,globalfoundries,
org_globalfoundries,GlobalFoundries,globalfoundries singapore,
org_imec,IMEC,imec vzw,https://openalex.org/I4210114974
org_stmicro,STMicroelectronics,stmicroelectronics,
org_stmicro,STMicroelectronics,stmicroelectronics crolles 2,
org_stmicro,STMicroelectronics,stmicroelectronics international,
org_stmicro,STMicroelectronics,stmicroelectronics rousset,
org_mit,MIT,massachusetts institute of technology,https://openalex.org/I63966007
org_uc_system,University of California,the regents of the university of california,
org_uc_system,University of California,,https://openalex.org/I2803209242
org_uc_system,University of California,,https://openalex.org/I95457486
org_uc_system,University of California,,https://openalex.org/I161318765
org_uc_system,University of California,,https://openalex.org/I154570441
org_uc_system,University of California,,https://openalex.org/I36258959
org_uc_system,University of California,,https://openalex.org/I204250578
org_uc_system,University of California,,https://openalex.org/I84218800
org_uc_system,University of California,,https://openalex.org/I180670191
org_uc_system,University of California,,https://openalex.org/I185103710
org_uc_system,University of California,,https://openalex.org/I103635307
org_uc_system,University of California,,https://openalex.org/I156087764
org_stanford,Stanford University,the board of trustees of the leland stanford junior university,https://openalex.org/I97018004
org_nvidia,NVIDIA,nvidia,
org_fujifilm,FUJIFILM,fujifilm,
org_gigaphoton,Gigaphoton,gigaphoton,
org_kioxia,Kioxia,kioxia,
org_toshiba,Toshiba,kabushiki kaisha toshiba,
org_toshiba_memory,Toshiba Memory,toshiba memory,
org_synopsys,Synopsys,synopsys,
org_lam_research,Lam Research,lam research,
org_sandisk,SanDisk,sandisk technologies,
org_winbond,Winbond Electronics,winbond electronics,
org_sel,Semiconductor Energy Laboratory,semiconductor energy laboratory,
org_jsr,JSR,jsr,
